Component,Pages,Pages >= 80%,Total messages,Translated messages,Total words,Translated words,Words progress
xref:component/ask-fedora-sops.adoc[ask-fedora-sops],8,7,367,329,6494,6013,92.59%
xref:component/badges.adoc[badges],7,6,232,228,3744,3740,99.89%
xref:component/ci.adoc[ci],7,5,273,167,3908,2639,67.53%
xref:component/council.adoc[council],22,1,753,51,10791,928,8.60%
xref:component/docs.adoc[docs],2,1,48,39,285,236,82.81%
xref:component/fedora.adoc[fedora],36,31,152,131,1495,1409,94.25%
xref:component/fedora-coreos.adoc[fedora-coreos],67,8,2016,161,37337,2425,6.49%
xref:component/fedora-install-guide.adoc[fedora-install-guide],576,221,28583,6701,610000,164439,26.96%
xref:component/fedora-join.adoc[fedora-join],10,5,280,167,5570,2769,49.71%
xref:component/fedora-release-notes.adoc[fedora-release-notes],329,133,3963,1322,59333,16814,28.34%
xref:component/fedora-system-administrators-guide.adoc[fedora-system-administrators-guide],296,95,44915,5758,895517,114488,12.78%
xref:component/flatpak.adoc[flatpak],9,6,179,77,3101,1542,49.73%
xref:component/mindshare-committee.adoc[mindshare-committee],22,18,459,346,9002,6999,77.75%
xref:component/program_management.adoc[program_management],34,1,998,67,16389,710,4.33%
xref:component/project.adoc[project],16,1,287,43,5699,469,8.23%
xref:component/quick-docs.adoc[quick-docs],275,36,6173,714,93679,8537,9.11%
